LINK
7
98
1281
283
49
10115
1208
332
12433
39753
202
27121
61394
356
7263
1052
11537
12293
351358
258
26650
62772
60809
28121
8040
21602
12758
60812
6818
44659
11243
24828
36641
71
14406
196
26702
15458
1034
11166
486
13916
24795
968
234
36960
61292
11538
859
15136
822
880
218
56272
51955
1029
24355
25922
22064
60805
38666
31958
10823
376
61982
288
54021
19721
23466
49421
26725
355041
25665
43229
43643
19723
37233
26371
37371
26391
46582
12218
33
14391
14399
149
12292
31966
19586
37230
266189
25699
1658
24191
24737
24776
169
24189
162976
25146
39695
25840
11144
22247
60804
46947
56310
240
184
60925
27388
109714
54
696
296
37257
58665
1112
50301
212
324045
336656
31137
60810
43836
41354
13919
118183
43374
139254
24769
1067
23519
44201
8828
96446
110883
51422
371579
13814
223330
409
112040
2171
11949
927
91871
95108
1057
24770
108113
47971
103863
99552
17775
8028
15204
207
375
27450
1002
111783
997
105115
122938
2380
61
50458
42291
374691
453
69664
29761
38365
270
264075
103989
34684
86
14392
60808
14833
111303
12012
368749
957
11974
22543
80
944
36289
103143
36707
9817
921
14209
48640
18402
43612
14805
37237
113404
37104
13933
29454
42671
132
28951
40
96518
58551
213354
167
51278
28241
89
213112
102938
36470
37276
18763
959
41263
16921
14178
32247
24732
37272
124411
51276
9933
269546
167697
342703
64986
25707
26690
42296
22483
98337
109632
41197
380940
36490
191
329920
45764
39728
24193
139032
41992
17745
114469
91927
66391
144
16100
237812
162851
113409
36290
34419
10497
3266
366151
12756
39756
214561
633
39736
15787
2711
13966
8907
16
25395
48445
214520
15216
38456
213141
50338
355
329919
43617
839
15195
213119
405
237100
60806
163
25932
51767
13963
209
54065
11987
113058
8594
38066
102948
261640
60814
366098
63140
28351
164395
149767
23623
160
58647
9009
103190
22302
213166
213362
1062
22889
11985
63968
38409
43602
49723
26684
38635
213138
212798
42646
8712
41027
37264
213100
42863
684
24725
103598
39522
47816
60807
58897
111
15040
46670
42293
45754
37239
22924
28170
36223
103055
1591
39996
28158
144166
60914
303467
37245
47970
366114
50119
41038
26021
33761
28131
32055
103145
173
41413
44651
105117
135279
213159
212796
24768
6147
38628
264337
276
47915
173119
37244
103020
17757
213364
758
134074
371473
213116
36697
109523
339109
16972
214558
25136
38449
38067
55713
90
213126
103049
821
61091
38407
367806
470
212703
191746
353163
38708
18182
94122
213349
22384
18135
22506
32296
212810
213330
387461
23596
103151
31624
27876
19882
85556
41436
214525
15618
25805
47561
44485
104811
14349
22321
156
43404
790
15132
32292
139044
15208
213150
18813
38657
88991
103026
167646
44664
20641
18751
776
22926
59825
103253
452499
62978
22476
22403
84768
138865
50160
191768
43616
45458
263059
269
114872
24314
58900
31733
234067
80351
23003
41029
94355
343422
19468
20658
84798
530590
39755
28886
59434
41518
28793
66024
30522
22284
325675
19835
109522
952
209887
274388
41321
29681
45801
208033
13836
49208
23018
213368
41228
22501
56802
102786
35249
61023
303460
452819
361246
28783
141
29039
44615
88899
1233
93949
444501
104690
254
39742
24311
173105
60998
22884
41511
212721
65609
162423
373315
102809
391117
39721
118925
49744
39832
45457
444797
17521
49444
29694
18179
38637
173263
37240
145535
171173
213139
43175
991
26210
577854
22217
18891
213161
38750
462
478574
387459
314915
69733
391127
41219
24743
224897
49210
104687
138905
139379
37279
184886
12363
60929
14561
43878
214550
1261
23593
63618
378879
444471
49493
16021
163765
139008
24790
27529
15139
438330
353263
161934
35043
104875
161985
22892
213164
103019
590649
36311
18422
119029
188163
723
22278
366147
14405
36469
507800
104629
188318
43360
188295
20513
41225
41512
330466
41343
118090
22398
22515
24505
19716
297153
61225
58291
94410
65362
